source_file,source_id,model_id,model_name,organization,release_date,source_url,repository_url,repository_host,license,weights_url,code_url,runtime,format,quantization,hardware_id,workload,jgb_level,jgb_confidence,quality_score,tokens_per_second,estimated_memory_gb,context_tokens,evidence_status,notes
classified_discoveries.ndjson,https://github.com/sharksurfauto-byte/ARES-v2,sharksurfauto-byte/ARES-v2,sharksurfauto-byte/ARES-v2,,,https://github.com/sharksurfauto-byte/ARES-v2,https://github.com/sharksurfauto-byte/ARES-v2,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/JeremyMaille/rag-aero,JeremyMaille/rag-aero,JeremyMaille/rag-aero,,,https://github.com/JeremyMaille/rag-aero,https://github.com/JeremyMaille/rag-aero,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/Francis1998/nexus-llm-router,Francis1998/nexus-llm-router,Francis1998/nexus-llm-router,,,https://github.com/Francis1998/nexus-llm-router,https://github.com/Francis1998/nexus-llm-router,github.com,NOASSERTION,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/YogendraChukka01/AdaptiveAgent,YogendraChukka01/AdaptiveAgent,YogendraChukka01/AdaptiveAgent,,,https://github.com/YogendraChukka01/AdaptiveAgent,https://github.com/YogendraChukka01/AdaptiveAgent,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/FB208/OpenBidKit_Yibiao,FB208/OpenBidKit_Yibiao,FB208/OpenBidKit_Yibiao,,,https://github.com/FB208/OpenBidKit_Yibiao,https://github.com/FB208/OpenBidKit_Yibiao,github.com,AGPL-3.0,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/GabrielCpp/stablemate,GabrielCpp/stablemate,GabrielCpp/stablemate,,,https://github.com/GabrielCpp/stablemate,https://github.com/GabrielCpp/stablemate,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/IntelliCoder-AI/multi-agent-travel-planner-using-langraph,IntelliCoder-AI/multi-agent-travel-planner-using-langraph,IntelliCoder-AI/multi-agent-travel-planner-using-langraph,,,https://github.com/IntelliCoder-AI/multi-agent-travel-planner-using-langraph,https://github.com/IntelliCoder-AI/multi-agent-travel-planner-using-langraph,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/fufellen/LLM-skills,fufellen/LLM-skills,fufellen/LLM-skills,,,https://github.com/fufellen/LLM-skills,https://github.com/fufellen/LLM-skills,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/nonnoob/claude-briefings,nonnoob/claude-briefings,nonnoob/claude-briefings,,,https://github.com/nonnoob/claude-briefings,https://github.com/nonnoob/claude-briefings,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/official-eswaran/DataWhisper,official-eswaran/DataWhisper,official-eswaran/DataWhisper,,,https://github.com/official-eswaran/DataWhisper,https://github.com/official-eswaran/DataWhisper,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/GEMISIS/leviath,GEMISIS/leviath,GEMISIS/leviath,,,https://github.com/GEMISIS/leviath,https://github.com/GEMISIS/leviath,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/Android-PowerUser/ScreenOperator,Android-PowerUser/ScreenOperator,Android-PowerUser/ScreenOperator,,,https://github.com/Android-PowerUser/ScreenOperator,https://github.com/Android-PowerUser/ScreenOperator,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/xiaoze-hub/Stock-Intelligent-Data-Analytics,xiaoze-hub/Stock-Intelligent-Data-Analytics,xiaoze-hub/Stock-Intelligent-Data-Analytics,,,https://github.com/xiaoze-hub/Stock-Intelligent-Data-Analytics,https://github.com/xiaoze-hub/Stock-Intelligent-Data-Analytics,github.com,AGPL-3.0,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/Elaina-real/dsh-tiered-approval,Elaina-real/dsh-tiered-approval,Elaina-real/dsh-tiered-approval,,,https://github.com/Elaina-real/dsh-tiered-approval,https://github.com/Elaina-real/dsh-tiered-approval,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/cool-japan/kizzasi,cool-japan/kizzasi,cool-japan/kizzasi,,,https://github.com/cool-japan/kizzasi,https://github.com/cool-japan/kizzasi,github.com,Apache-2.0,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/Guruprasath-Annadurai/Whitepact,Guruprasath-Annadurai/Whitepact,Guruprasath-Annadurai/Whitepact,,,https://github.com/Guruprasath-Annadurai/Whitepact,https://github.com/Guruprasath-Annadurai/Whitepact,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/linny006/llmops-radar,linny006/llmops-radar,linny006/llmops-radar,,,https://github.com/linny006/llmops-radar,https://github.com/linny006/llmops-radar,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/JetBrains/junie,JetBrains/junie,JetBrains/junie,,,https://github.com/JetBrains/junie,https://github.com/JetBrains/junie,github.com,NOASSERTION,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/henry-nkomo/LLM-based-tutor-for-grade-12-English-comp,henry-nkomo/LLM-based-tutor-for-grade-12-English-comp,henry-nkomo/LLM-based-tutor-for-grade-12-English-comp,,,https://github.com/henry-nkomo/LLM-based-tutor-for-grade-12-English-comp,https://github.com/henry-nkomo/LLM-based-tutor-for-grade-12-English-comp,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/linny006/llm-eval-tracker,linny006/llm-eval-tracker,linny006/llm-eval-tracker,,,https://github.com/linny006/llm-eval-tracker,https://github.com/linny006/llm-eval-tracker,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/linny006/llm-agents-radar,linny006/llm-agents-radar,linny006/llm-agents-radar,,,https://github.com/linny006/llm-agents-radar,https://github.com/linny006/llm-agents-radar,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/14all-agency/shopify-llms-txt-directory,14all-agency/shopify-llms-txt-directory,14all-agency/shopify-llms-txt-directory,,,https://github.com/14all-agency/shopify-llms-txt-directory,https://github.com/14all-agency/shopify-llms-txt-directory,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/cloud-itonami/cloud-itonami-isic-8411-electoral,cloud-itonami/cloud-itonami-isic-8411-electoral,cloud-itonami/cloud-itonami-isic-8411-electoral,,,https://github.com/cloud-itonami/cloud-itonami-isic-8411-electoral,https://github.com/cloud-itonami/cloud-itonami-isic-8411-electoral,github.com,AGPL-3.0,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/KeiranCPFlynn/llmnesia-site-njs,KeiranCPFlynn/llmnesia-site-njs,KeiranCPFlynn/llmnesia-site-njs,,,https://github.com/KeiranCPFlynn/llmnesia-site-njs,https://github.com/KeiranCPFlynn/llmnesia-site-njs,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/zhaixiaowai/CodingPlanTimeRefresh,zhaixiaowai/CodingPlanTimeRefresh,zhaixiaowai/CodingPlanTimeRefresh,,,https://github.com/zhaixiaowai/CodingPlanTimeRefresh,https://github.com/zhaixiaowai/CodingPlanTimeRefresh,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/AstrBotDevs/AstrBot,AstrBotDevs/AstrBot,AstrBotDevs/AstrBot,,,https://github.com/AstrBotDevs/AstrBot,https://github.com/AstrBotDevs/AstrBot,github.com,AGPL-3.0,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/ivcained/surp-router,ivcained/surp-router,ivcained/surp-router,,,https://github.com/ivcained/surp-router,https://github.com/ivcained/surp-router,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/14H034160212/AlphaTrader,14H034160212/AlphaTrader,14H034160212/AlphaTrader,,,https://github.com/14H034160212/AlphaTrader,https://github.com/14H034160212/AlphaTrader,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/Hentrax/instaflow,Hentrax/instaflow,Hentrax/instaflow,,,https://github.com/Hentrax/instaflow,https://github.com/Hentrax/instaflow,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/btspoony/dsh-llm-fallbacks,btspoony/dsh-llm-fallbacks,btspoony/dsh-llm-fallbacks,,,https://github.com/btspoony/dsh-llm-fallbacks,https://github.com/btspoony/dsh-llm-fallbacks,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/raullenchai/Rapid-MLX,raullenchai/Rapid-MLX,raullenchai/Rapid-MLX,,,https://github.com/raullenchai/Rapid-MLX,https://github.com/raullenchai/Rapid-MLX,github.com,Apache-2.0,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/guelfoweb/orbit,guelfoweb/orbit,guelfoweb/orbit,,,https://github.com/guelfoweb/orbit,https://github.com/guelfoweb/orbit,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/wish-maker/minder,wish-maker/minder,wish-maker/minder,,,https://github.com/wish-maker/minder,https://github.com/wish-maker/minder,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/vllm-project/vllm,vllm-project/vllm,vllm-project/vllm,,,https://github.com/vllm-project/vllm,https://github.com/vllm-project/vllm,github.com,Apache-2.0,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/francium619/llmscope,francium619/llmscope,francium619/llmscope,,,https://github.com/francium619/llmscope,https://github.com/francium619/llmscope,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/cklxx/arle,cklxx/arle,cklxx/arle,,,https://github.com/cklxx/arle,https://github.com/cklxx/arle,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/Classevelabs/rai,Classevelabs/rai,Classevelabs/rai,,,https://github.com/Classevelabs/rai,https://github.com/Classevelabs/rai,github.com,Apache-2.0,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/huggingface/transformers,huggingface/transformers,huggingface/transformers,,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,github.com,Apache-2.0,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/ggml-org/llama.cpp,ggml-org/llama.cpp,ggml-org/llama.cpp,,,https://github.com/ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/rammsguns/llm-rig,rammsguns/llm-rig,rammsguns/llm-rig,,,https://github.com/rammsguns/llm-rig,https://github.com/rammsguns/llm-rig,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/townsendmerino/goinfer,townsendmerino/goinfer,townsendmerino/goinfer,,,https://github.com/townsendmerino/goinfer,https://github.com/townsendmerino/goinfer,github.com,MIT,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/local-inference-lab/blackwell-llm-docker,local-inference-lab/blackwell-llm-docker,local-inference-lab/blackwell-llm-docker,,,https://github.com/local-inference-lab/blackwell-llm-docker,https://github.com/local-inference-lab/blackwell-llm-docker,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
classified_discoveries.ndjson,https://github.com/arshad1416/HA_Automation_Pi,arshad1416/HA_Automation_Pi,arshad1416/HA_Automation_Pi,,,https://github.com/arshad1416/HA_Automation_Pi,https://github.com/arshad1416/HA_Automation_Pi,github.com,,,,,,,,,,,,,,,discovered,canonical repository URL derived from forge + repository path
